Data as of,Start week,End Week,State,Sex,Age group,COVID-19 Deaths,Total Deaths,Pneumonia Deaths,Pneumonia and COVID-19 Deaths,Influenza Deaths,"Pneumonia, Influenza, or COVID-19 Deaths",Footnote
11/18/2020,2/1/2020,11/14/2020,Alabama,Male,25-34 years,18,702,19,0,0,32,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
11/18/2020,2/1/2020,11/14/2020,Alabama,Male,30-49 years,112,"2,138",110,39,0,186,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
11/18/2020,2/1/2020,11/14/2020,Alabama,Male,35-44 years,51,"1,024",57,20,0,90,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
11/18/2020,2/1/2020,11/14/2020,Alabama,Male,45-54 years,139,"1,834",108,38,0,215,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
11/18/2020,2/1/2020,11/14/2020,Alabama,Male,50-64 years,415,"5,285",358,121,21,673,
11/18/2020,2/1/2020,11/14/2020,Alabama,Male,55-64 years,327,"4,172",290,97,16,536,
11/18/2020,2/1/2020,11/14/2020,Alabama,Male,65-74 years,599,"5,885",557,207,17,965,
11/18/2020,2/1/2020,11/14/2020,Alabama,Male,75-84 years,618,"5,985",564,213,0,976,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
11/18/2020,2/1/2020,11/14/2020,Alabama,Male,85 years and over,403,"4,187",368,137,0,640,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
11/18/2020,2/1/2020,11/14/2020,Alabama,Female,All Ages,"2,025","22,570","1,730",650,42,"3,145",
11/18/2020,2/1/2020,11/14/2020,Alabama,Female,Under 1 year,0,117,0,0,0,0,
11/18/2020,2/1/2020,11/14/2020,Alabama,Female,0-17 years,0,182,0,0,0,0,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
11/18/2020,2/1/2020,11/14/2020,Alabama,Female,1-4 years,0,24,0,0,0,0,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
11/18/2020,2/1/2020,11/14/2020,Alabama,Female,5-14 years,0,27,0,0,0,0,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
11/18/2020,2/1/2020,11/14/2020,Alabama,Female,15-24 years,0,137,0,0,0,0,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
11/18/2020,2/1/2020,11/14/2020,Alabama,Female,18-29 years,0,230,10,0,0,14,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
11/18/2020,2/1/2020,11/14/2020,Alabama,Female,25-34 years,12,309,19,0,0,25,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
11/18/2020,2/1/2020,11/14/2020,Alabama,Female,30-49 years,85,"1,257",70,24,0,136,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
11/18/2020,2/1/2020,11/14/2020,Alabama,Female,35-44 years,35,572,31,0,0,59,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
11/18/2020,2/1/2020,11/14/2020,Alabama,Female,45-54 years,111,"1,222",74,31,0,159,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
11/18/2020,2/1/2020,11/14/2020,Alabama,Female,50-64 years,326,"3,557",316,98,13,556,
11/18/2020,2/1/2020,11/14/2020,Alabama,Female,55-64 years,255,"2,818",267,76,0,454,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
11/18/2020,2/1/2020,11/14/2020,Alabama,Female,65-74 years,437,"4,354",378,153,12,674,
11/18/2020,2/1/2020,11/14/2020,Alabama,Female,75-84 years,534,"5,903",487,190,0,838,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
11/18/2020,2/1/2020,11/14/2020,Alabama,Female,85 years and over,637,"7,087",466,183,0,923,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
11/18/2020,2/1/2020,11/14/2020,Alaska,All Sexes,All Ages,75,"3,449",159,38,0,202,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
11/18/2020,2/1/2020,11/14/2020,Alaska,Male,All Ages,42,"2,002",84,17,0,112,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
11/18/2020,2/1/2020,11/14/2020,Alaska,Male,Under 1 year,0,17,0,0,0,0,
11/18/2020,2/1/2020,11/14/2020,Alaska,Male,0-17 years,0,44,0,0,0,0,
11/18/2020,2/1/2020,11/14/2020,Alaska,Male,1-4 years,0,0,0,0,0,0,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
11/18/2020,2/1/2020,11/14/2020,Alaska,Male,5-14 years,0,15,0,0,0,0,
11/18/2020,2/1/2020,11/14/2020,Alaska,Male,15-24 years,0,69,0,0,0,0,
11/18/2020,2/1/2020,11/14/2020,Alaska,Male,18-29 years,0,101,0,0,0,0,
11/18/2020,2/1/2020,11/14/2020,Alaska,Male,25-34 years,0,91,0,0,0,0,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
11/18/2020,2/1/2020,11/14/2020,Alaska,Male,30-49 years,0,236,10,0,0,11,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
11/18/2020,2/1/2020,11/14/2020,Alaska,Male,35-44 years,0,117,0,0,0,0,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
11/18/2020,2/1/2020,11/14/2020,Alaska,Male,45-54 years,0,170,0,0,0,0,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
11/18/2020,2/1/2020,11/14/2020,Alaska,Male,50-64 years,0,460,19,0,0,25,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
11/18/2020,2/1/2020,11/14/2020,Alaska,Male,55-64 years,0,359,16,0,0,21,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
11/18/2020,2/1/2020,11/14/2020,Alaska,Male,65-74 years,13,453,17,0,0,23,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
11/18/2020,2/1/2020,11/14/2020,Alaska,Male,75-84 years,12,446,21,0,0,30,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
11/18/2020,2/1/2020,11/14/2020,Alaska,Male,85 years and over,0,262,17,0,0,23,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
11/18/2020,2/1/2020,11/14/2020,Alaska,Female,All Ages,33,"1,447",75,21,0,90,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
11/18/2020,2/1/2020,11/14/2020,Alaska,Female,Under 1 year,0,12,0,0,0,0,
11/18/2020,2/1/2020,11/14/2020,Alaska,Female,0-17 years,0,26,0,0,0,0,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
11/18/2020,2/1/2020,11/14/2020,Alaska,Female,1-4 years,0,0,0,0,0,0,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
11/18/2020,2/1/2020,11/14/2020,Alaska,Female,5-14 years,0,0,0,0,0,0,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
11/18/2020,2/1/2020,11/14/2020,Alaska,Female,15-24 years,0,28,0,0,0,0,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
11/18/2020,2/1/2020,11/14/2020,Alaska,Female,18-29 years,0,47,0,0,0,0,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
11/18/2020,2/1/2020,11/14/2020,Alaska,Female,25-34 years,0,60,0,0,0,0,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
11/18/2020,2/1/2020,11/14/2020,Alaska,Female,30-49 years,0,155,0,0,0,0,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
11/18/2020,2/1/2020,11/14/2020,Alaska,Female,35-44 years,0,75,0,0,0,0,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
11/18/2020,2/1/2020,11/14/2020,Alaska,Female,45-54 years,0,99,0,0,0,0,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
11/18/2020,2/1/2020,11/14/2020,Alaska,Female,50-64 years,0,262,16,0,0,19,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
11/18/2020,2/1/2020,11/14/2020,Alaska,Female,55-64 years,0,209,12,0,0,14,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
11/18/2020,2/1/2020,11/14/2020,Alaska,Female,65-74 years,0,304,16,0,0,20,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
11/18/2020,2/1/2020,11/14/2020,Alaska,Female,75-84 years,0,295,15,0,0,17,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
11/18/2020,2/1/2020,11/14/2020,Alaska,Female,85 years and over,0,358,17,0,0,19,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
11/18/2020,2/1/2020,11/14/2020,Arizona,All Sexes,All Ages,"5,449","58,044","5,874","3,064",115,"8,374",
11/18/2020,2/1/2020,11/14/2020,Arizona,Male,All Ages,"3,148","31,798","3,344","1,794",61,"4,759",
11/18/2020,2/1/2020,11/14/2020,Arizona,Male,Under 1 year,0,175,0,0,0,0,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
11/18/2020,2/1/2020,11/14/2020,Arizona,Male,0-17 years,0,388,0,0,0,13,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
11/18/2020,2/1/2020,11/14/2020,Arizona,Male,1-4 years,0,47,0,0,0,0,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
11/18/2020,2/1/2020,11/14/2020,Arizona,Male,5-14 years,0,59,0,0,0,0,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
11/18/2020,2/1/2020,11/14/2020,Arizona,Male,15-24 years,16,692,14,0,0,24,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
11/18/2020,2/1/2020,11/14/2020,Arizona,Male,18-29 years,38,"1,144",36,22,0,53,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
11/18/2020,2/1/2020,11/14/2020,Arizona,Male,25-34 years,59,"1,197",48,32,0,76,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
11/18/2020,2/1/2020,11/14/2020,Arizona,Male,30-49 years,259,"2,989",198,132,0,328,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
11/18/2020,2/1/2020,11/14/2020,Arizona,Male,35-44 years,120,"1,424",92,61,0,153,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
11/18/2020,2/1/2020,11/14/2020,Arizona,Male,45-54 years,270,"2,195",219,149,0,344,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
11/18/2020,2/1/2020,11/14/2020,Arizona,Male,50-64 years,702,"5,889",680,412,17,987,
11/18/2020,2/1/2020,11/14/2020,Arizona,Male,55-64 years,535,"4,621",543,317,13,774,
11/18/2020,2/1/2020,11/14/2020,Arizona,Male,65-74 years,752,"6,889",844,464,14,"1,146",
11/18/2020,2/1/2020,11/14/2020,Arizona,Male,75-84 years,823,"7,988",954,480,12,"1,309",
11/18/2020,2/1/2020,11/14/2020,Arizona,Male,85 years and over,569,"6,511",626,282,10,923,
11/18/2020,2/1/2020,11/14/2020,Arizona,Female,All Ages,"2,301","26,246","2,530","1,270",54,"3,615",
11/18/2020,2/1/2020,11/14/2020,Arizona,Female,Under 1 year,0,142,0,0,0,0,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
11/18/2020,2/1/2020,11/14/2020,Arizona,Female,0-17 years,0,265,0,0,0,0,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
11/18/2020,2/1/2020,11/14/2020,Arizona,Female,1-4 years,0,37,0,0,0,0,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
11/18/2020,2/1/2020,11/14/2020,Arizona,Female,5-14 years,0,47,0,0,0,0,
11/18/2020,2/1/2020,11/14/2020,Arizona,Female,15-24 years,0,204,0,0,0,10,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
11/18/2020,2/1/2020,11/14/2020,Arizona,Female,18-29 years,17,365,16,0,0,25,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
11/18/2020,2/1/2020,11/14/2020,Arizona,Female,25-34 years,32,487,31,16,0,48,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
11/18/2020,2/1/2020,11/14/2020,Arizona,Female,30-49 years,143,"1,445",129,81,0,198,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
11/18/2020,2/1/2020,11/14/2020,Arizona,Female,35-44 years,63,667,46,29,0,83,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
11/18/2020,2/1/2020,11/14/2020,Arizona,Female,45-54 years,118,"1,213",128,72,0,180,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
11/18/2020,2/1/2020,11/14/2020,Arizona,Female,50-64 years,372,"3,548",412,215,13,582,
11/18/2020,2/1/2020,11/14/2020,Arizona,Female,55-64 years,313,"2,826",344,182,10,485,
11/18/2020,2/1/2020,11/14/2020,Arizona,Female,65-74 years,503,"4,867",583,306,16,796,
11/18/2020,2/1/2020,11/14/2020,Arizona,Female,75-84 years,606,"6,728",699,352,10,963,
11/18/2020,2/1/2020,11/14/2020,Arizona,Female,85 years and over,660,"9,028",687,308,0,"1,047",One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
11/18/2020,2/1/2020,11/14/2020,Arkansas,All Sexes,All Ages,"2,087","28,216","2,524",959,82,"3,731",
11/18/2020,2/1/2020,11/14/2020,Arkansas,Male,All Ages,"1,080","14,726","1,360",541,44,"1,942",
11/18/2020,2/1/2020,11/14/2020,Arkansas,Male,Under 1 year,0,115,0,0,0,0,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
11/18/2020,2/1/2020,11/14/2020,Arkansas,Male,0-17 years,0,216,0,0,0,0,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
11/18/2020,2/1/2020,11/14/2020,Arkansas,Male,1-4 years,0,23,0,0,0,0,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
11/18/2020,2/1/2020,11/14/2020,Arkansas,Male,5-14 years,0,30,0,0,0,0,
11/18/2020,2/1/2020,11/14/2020,Arkansas,Male,15-24 years,0,234,0,0,0,0,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
11/18/2020,2/1/2020,11/14/2020,Arkansas,Male,18-29 years,0,355,0,0,0,14,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
11/18/2020,2/1/2020,11/14/2020,Arkansas,Male,25-34 years,10,386,12,0,0,22,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
11/18/2020,2/1/2020,11/14/2020,Arkansas,Male,30-49 years,51,"1,233",60,17,0,99,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
11/18/2020,2/1/2020,11/14/2020,Arkansas,Male,35-44 years,20,585,34,0,0,50,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
11/18/2020,2/1/2020,11/14/2020,Arkansas,Male,45-54 years,68,"1,003",70,31,0,110,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
11/18/2020,2/1/2020,11/14/2020,Arkansas,Male,50-64 years,194,"3,056",256,96,15,368,
11/18/2020,2/1/2020,11/14/2020,Arkansas,Male,55-64 years,151,"2,484",205,74,12,294,
11/18/2020,2/1/2020,11/14/2020,Arkansas,Male,65-74 years,242,"3,551",313,122,11,444,
11/18/2020,2/1/2020,11/14/2020,Arkansas,Male,75-84 years,330,"3,667",412,172,0,578,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
11/18/2020,2/1/2020,11/14/2020,Arkansas,Male,85 years and over,258,"2,648",309,134,0,436,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
11/18/2020,2/1/2020,11/14/2020,Arkansas,Female,All Ages,"1,007","13,490","1,164",418,38,"1,789",
11/18/2020,2/1/2020,11/14/2020,Arkansas,Female,Under 1 year,0,74,0,0,0,0,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
11/18/2020,2/1/2020,11/14/2020,Arkansas,Female,0-17 years,0,123,0,0,0,0,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
11/18/2020,2/1/2020,11/14/2020,Arkansas,Female,1-4 years,0,17,0,0,0,0,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
11/18/2020,2/1/2020,11/14/2020,Arkansas,Female,5-14 years,0,20,0,0,0,0,
11/18/2020,2/1/2020,11/14/2020,Arkansas,Female,15-24 years,0,87,0,0,0,0,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
11/18/2020,2/1/2020,11/14/2020,Arkansas,Female,18-29 years,0,152,0,0,0,0,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
11/18/2020,2/1/2020,11/14/2020,Arkansas,Female,25-34 years,0,191,13,0,0,16,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
11/18/2020,2/1/2020,11/14/2020,Arkansas,Female,30-49 years,46,800,56,19,0,84,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
11/18/2020,2/1/2020,11/14/2020,Arkansas,Female,35-44 years,18,369,21,0,0,35,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
11/18/2020,2/1/2020,11/14/2020,Arkansas,Female,45-54 years,35,713,65,19,0,84,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
11/18/2020,2/1/2020,11/14/2020,Arkansas,Female,50-64 years,123,"2,021",186,63,10,255,
11/18/2020,2/1/2020,11/14/2020,Arkansas,Female,55-64 years,110,"1,625",148,55,0,209,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
11/18/2020,2/1/2020,11/14/2020,Arkansas,Female,65-74 years,167,"2,614",236,78,10,335,
11/18/2020,2/1/2020,11/14/2020,Arkansas,Female,75-84 years,262,"3,389",316,118,0,466,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
11/18/2020,2/1/2020,11/14/2020,Arkansas,Female,85 years and over,405,"4,391",357,136,0,634,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
11/18/2020,2/1/2020,11/14/2020,California,All Sexes,All Ages,"17,641","235,867","23,583","9,878",582,"31,926",
11/18/2020,2/1/2020,11/14/2020,California,Male,All Ages,"10,213","126,016","13,359","5,862",307,"18,015",
11/18/2020,2/1/2020,11/14/2020,California,Male,Under 1 year,0,719,12,0,0,13,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
11/18/2020,2/1/2020,11/14/2020,California,Male,0-17 years,0,"1,359",26,0,0,36,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
11/18/2020,2/1/2020,11/14/2020,California,Male,1-4 years,0,144,0,0,0,0,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
11/18/2020,2/1/2020,11/14/2020,California,Male,5-14 years,0,230,0,0,0,10,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
11/18/2020,2/1/2020,11/14/2020,California,Male,15-24 years,29,"2,221",44,13,0,61,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
11/18/2020,2/1/2020,11/14/2020,California,Male,18-29 years,74,"3,884",90,26,0,144,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
11/18/2020,2/1/2020,11/14/2020,California,Male,25-34 years,125,"4,158",141,55,0,220,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
11/18/2020,2/1/2020,11/14/2020,California,Male,30-49 years,812,"11,133",834,450,25,"1,221",
11/18/2020,2/1/2020,11/14/2020,California,Male,35-44 years,349,"5,338",371,190,11,541,
